MetaOTU	Species	Type	Sample	RelativeAbundance
MS00059	Bifidobacterium longum	Newborn	X281	0.149075101772616
MS00059	Bifidobacterium longum	Newborn	X282	0.0598247949310977
MS00059	Bifidobacterium longum	Newborn	X332	0.00595554506973743
MS00059	Bifidobacterium longum	Newborn	X335	0.0116702328490148
MS00059	Bifidobacterium longum	Newborn	X338	0.0821165666152654
MS00059	Bifidobacterium longum	Newborn	X341	0.00784403623956768
MS00059	Bifidobacterium longum	Newborn	X343	0.892016926537982
MS00059	Bifidobacterium longum	Newborn	X350	0.00123482567023067
MS00059	Bifidobacterium longum	Newborn	X367	0.0171258101415023
MS00059	Bifidobacterium longum	Newborn	X377	0.10257821749144
MS00059	Bifidobacterium longum	Newborn	X383	0
MS00059	Bifidobacterium longum	Newborn	X385	0
MS00059	Bifidobacterium longum	Newborn	X397	0.000818069626583894
MS00059	Bifidobacterium longum	Newborn	X39	0.167798731655813
MS00059	Bifidobacterium longum	Newborn	X42	0
MS00059	Bifidobacterium longum	Newborn	X45	0
MS00059	Bifidobacterium longum	Newborn	X51	0.090739101087097
MS00059	Bifidobacterium longum	Newborn	X521	0
MS00059	Bifidobacterium longum	Newborn	X526	0
MS00059	Bifidobacterium longum	Newborn	X527	0
MS00059	Bifidobacterium longum	Newborn	X536	0
MS00059	Bifidobacterium longum	Newborn	X544	0
MS00059	Bifidobacterium longum	Newborn	X549	0
MS00059	Bifidobacterium longum	Newborn	X560	6.4223999935511e-05
MS00059	Bifidobacterium longum	Newborn	X565	0.0764166730627548
MS00059	Bifidobacterium longum	Newborn	X567	0
MS00059	Bifidobacterium longum	Newborn	X572	0.15055546076295
MS00059	Bifidobacterium longum	Newborn	X582	0
MS00059	Bifidobacterium longum	Newborn	X585	0
MS00059	Bifidobacterium longum	Newborn	X587	0.000563973465448117
MS00059	Bifidobacterium longum	Newborn	X589	0.00197021763779976
MS00059	Bifidobacterium longum	Newborn	X590	0.00322144847377794
MS00059	Bifidobacterium longum	Newborn	X591	0.239402603923948
MS00059	Bifidobacterium longum	Newborn	X599	0.171228589788355
MS00059	Bifidobacterium longum	Newborn	X608	0
MS00059	Bifidobacterium longum	Newborn	X615	0
MS00059	Bifidobacterium longum	Newborn	X624	0
MS00059	Bifidobacterium longum	Newborn	X633	0
MS00059	Bifidobacterium longum	Newborn	X637	0.548812566474068
