ID	Sample	Time	strain	RA
30313	200	14	Ehal	0.0110515971785889
30313	200	14	Fpr	0.0676872585337262
30316	201	0	Bbv	0.00115536410943555
30316	201	0	Blg	0.0116268547152384
30316	201	0	Bad	6.12499426101331e-05
30316	201	0	Rint	0.00604942880594004
30316	201	0	Bfr	0.00256462405777086
30316	201	0	Ehal	0.00360648660410583
30316	201	0	Fpr	0.0363081274992712
30316	202	1	Bbv	0.000181777338253027
30316	202	1	Blg	0.00167866465954189
30316	202	1	Bad	1.34912868234668e-05
30316	202	1	Rint	0.00321079716076192
30316	202	1	Bfr	0.00941446524153922
30316	202	1	Ehal	0.00665204357491989
30316	202	1	Fpr	0.0750007746193391
30316	203	3	Bbv	4.89072884810896e-05
30316	203	3	Blg	0.000534231182537337
30316	203	3	Bad	5.19746445530743e-06
30316	203	3	Rint	0.00314046139170035
30316	203	3	Bfr	0.00568116946699235
30316	203	3	Ehal	0.0138520948167476
30316	203	3	Fpr	0.0789449692463472
30316	204	7	Bbv	3.10166794520004e-07
30316	204	7	Blg	3.01637207670704e-05
30316	204	7	Bad	0
30316	204	7	Rint	0.00418376234958171
30316	204	7	Bfr	0.00547242783911369
30316	204	7	Ehal	0.00370850927867843
30316	204	7	Fpr	0.0651810090764885
30316	205	14	Bbv	0
30316	205	14	Blg	2.47433703555581e-05
30316	205	14	Bad	2.0705749251513e-07
30316	205	14	Rint	0.0122313001978538
30316	205	14	Bfr	0.00502487122835719
30316	205	14	Ehal	0.00470382858621248
30316	205	14	Fpr	0.0370121479595571
NA	170	NA	Bbv	0.000338652217071392
NA	170	NA	Blg	0.00274750582214895
NA	170	NA	Bad	0.000360746192064756
NA	170	NA	Rint	0.000763157633472429
NA	170	NA	Bfr	0.00572754767944906
NA	170	NA	Ehal	0.000473006370714277
NA	170	NA	Fpr	0.0293740007867571
NA	171	NA	Bbv	6.80684911226324e-05
NA	171	NA	Blg	0.000536894186466272
NA	171	NA	Bad	6.25885926357139e-05
NA	171	NA	Rint	0.000383457028832554
NA	171	NA	Bfr	0.00276947729150447
NA	171	NA	Ehal	0.000409090272994503
NA	171	NA	Fpr	0.00198096065881242
