103_B	105_B	10_B	128_B	12_B	130_B	133_B	137_B	150_B	157_B	172_B	179_B	180_B	181_B	184_B	18_B	195_B	1_B	201_B	203_B	224_B	229_B	238_B	240_B	241_B	244_B	256_B	258_B	263_B	265_B	268_B	26_B	272_B	274_B	275_B	276_B	281_B	282_B	332_B	335_B	338_B	341_B	343_B	345_B	350_B	367_B	377_B	383_B	385_B	387_B	38_B	397_B	39_B	42_B	45_B	503_B	504_B	507_B	511_B	51_B	521_B	526_B	527_B	532_B	536_B	53_B	544_B	546_B	549_B	560_B	565_B	567_B	570_B	572_B	577_B	582_B	585_B	587_B	589_B	590_B	591_B	598_B	599_B	608_B	615_B	622_B	624_B	626_B	633_B	635_B	637_B	640_B	70_B	78_B	7_B	82_B	87_B	9_B
MN00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202947974425522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00135236150799112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00025	0	0	0	0.00132040116420883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00124412472999408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2901053050956e-05	0	0	0	0	0	0	0	0	0
MN00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000156534048773617	0	0	0	0	0	0	0	0	0	0	0	0.000117348681113309	0	0	0	0	0	0	0	0	0	0.0145150236624617	0.0543535412491986	0	0	0	0	0	0	5.22604985655869e-05	0	0	0	0	0	0	0	0	0	0	0	0	9.54666900797707e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00027	0.22753436627869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00173289806457325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021611740472879	0
MN00028	0	0	0	0	0	0	0	0	0	0	0.000400745743947724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000551891857731732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000136525214027334	0	0	0	0	0	0	0	0	0
MN00029	0.000452084667008901	0.00054103137661541	0	0	0	0	3.3105098014117e-05	0.0194064365398446	0	0	0	0	0	0	0	0	0	0	0	0.0693640948804835	0	0.000349746437167654	0	0	0	0	6.46454306374309e-05	0	0	0	0.000479926351223488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000972016799790085	0	0.000426009670158372	0	0	1.78156508026286e-05	0.000139183157193305	0	0	0.000296959020419313	0.170159240764117	0	0	0	0	0.0433448873952652	0	0	0.000396092142497478	0	0	0	0	0	0	0.143690177620741	0	0	0	0	7.77979803692199e-05	0	0	0	0	0	0	0	0.00314323656465471	0	0	0	0	0	0	0	0	5.05533422067558e-05	0	0	0.414150072124447	0
MN00030	0	0	0	0	8.76662377449693e-05	0	0	0	0	0	0	0	0	0	0	0	0.00119942483920371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00611194767921618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0416163204025816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
