103_4M	105_4M	10_4M	128_4M	12_4M	130_4M	133_4M	137_4M	150_4M	157_4M	172_4M	179_4M	180_4M	181_4M	184_4M	18_4M	195_4M	1_4M	201_4M	203_4M	224_4M	229_4M	238_4M	240_4M	241_4M	244_4M	256_4M	258_4M	263_4M	265_4M	268_4M	26_4M	272_4M	274_4M	275_4M	276_4M	281_4M	282_4M	332_4M	335_4M	338_4M	341_4M	343_4M	345_4M	350_4M	367_4M	377_4M	383_4M	385_4M	387_4M	38_4M	397_4M	39_4M	42_4M	45_4M	503_4M	504_4M	507_4M	511_4M	51_4M	521_4M	526_4M	527_4M	532_4M	536_4M	53_4M	544_4M	546_4M	549_4M	560_4M	565_4M	567_4M	570_4M	572_4M	577_4M	582_4M	585_4M	587_4M	589_4M	590_4M	591_4M	598_4M	599_4M	608_4M	615_4M	622_4M	624_4M	626_4M	633_4M	635_4M	637_4M	640_4M	70_4M	78_4M	7_4M	82_4M	87_4M	9_4M
MN00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.32960799365529e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00787061398046441	0	0	0	0	0	0.000166204875649656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00023	0	0.0188051730508535	0	0	0	0	0.00155326891387221	0	0	0	0	0	0	0	0	9.58178924338955e-05	0	0	0	2.91173989749611e-05	0.00705059111906951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106663564189736	0	0	0	0	0	0	0	0	0	0.00039736643820752	0	0	0	0	0	0	0	0	4.51078409611155e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000149012726598838	0	0	0	0
MN00024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00123495238779464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00180848946520426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481970810373639	0	0.00110824750473015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00650401377837017	0	0	0	0	0	0
MN00026	0	0.000147698123666553	0	0	8.1805482616097e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000197537881156613	0	0.000121450807901988	0	0	0	0	0	0	0	0	0	0	0	0	3.1214248418487e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000381171025281345	0	0	0	0	0	0	0	0.0010201896371648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000478547577283654	0	0	0	0	0	0	0	0	0	0	0
MN00027	0	0	0	0	0	0	0	0	0.00176236255374718	0	0	0	0	0	0.000145932723304186	0.000242468450913717	0	0	0	0	0	0	0	0	0	0.00213370387484921	0	0	0	0	0	0	0	0	0	0.000169785739272902	0.00143472579335458	0	0	0	0	0	0	0	0	0	0	3.09705374694885e-05	0	0.00255354147027268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67527953753663e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000601308363499963	0	0	0	0	0	0	0	8.92486076533288e-05	0
MN00028	0	0	0	0	0	0	0	0	0	0	0.00103806919407825	0	0	0	0	7.24691407356851e-05	0	0	0	0	0	5.37331057451565e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000177078453166403	0	0	0	0	2.2189176538807e-05	2.8625677279052e-05	0	0.000353331387178872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.11588150086763e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
MN00029	0.000131331588610083	0.00130659019337311	0	0.000195525938757533	6.67951322859317e-05	6.69075080688086e-05	0.000817858998358965	0	0	7.01196253256098e-05	2.88865671307091e-05	0	0	0	0.000167328947656904	0	0.000268745777389901	0	0.000302211044090993	0.0891175119489875	5.71334461909585e-05	7.84995585255861e-05	0.000783271563064982	0	0	0	0	0	0	0.000139799075446447	0.000627661771456089	0	0	0	0.000381665999329657	0	0.00179118127454624	0.000128237006519478	0	0.000165125510875506	0.000282669492760814	0	2.06676494817448e-05	0	0	0	0.0040173284816217	0	0	0	0.00010912031101056	0.000122598729436858	0	0	0	0.0127670921314562	0.101305990006429	0	0.000343562662570173	0.000373265467405281	0	0.00012786145023334	0	0	0.000418457943425344	0	5.56171121136052e-05	0	0.000265968326336241	0	0	0.000389361093636552	4.28658440792972e-05	0	0	0	0	4.45975891319009e-05	0	0	0	0	0	0	0	0	0.000139057103114242	0.000224777452979367	0.000198775654980336	4.0415990358274e-05	0	0	2.47489733929284e-05	4.11672173509829e-05	0.000111713117046365	0	0.0785036372615234	5.02023704108325e-05
MN00030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259545835052174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000351936971492103	0	0	0	0	0	0	9.1418553793113e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139574928086024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
