MetaOTU	Species	Type	Sample	RelativeAbundance
MS00059	Bifidobacterium longum	4 Months	X42	0.0883283304288079
MS00059	Bifidobacterium longum	4 Months	X45	0.0182334843400631
MS00059	Bifidobacterium longum	4 Months	X51	0.0271228004435216
MS00059	Bifidobacterium longum	4 Months	X521	0.0652084874040665
MS00059	Bifidobacterium longum	4 Months	X526	0.285221052439417
MS00059	Bifidobacterium longum	4 Months	X527	0.197967688392132
MS00059	Bifidobacterium longum	4 Months	X536	0.448565372111033
MS00059	Bifidobacterium longum	4 Months	X544	5.43357269826858e-05
MS00059	Bifidobacterium longum	4 Months	X549	0.141646391573329
MS00059	Bifidobacterium longum	4 Months	X560	0.362650689413459
MS00059	Bifidobacterium longum	4 Months	X565	0.172373682960101
MS00059	Bifidobacterium longum	4 Months	X567	0.52543136670436
MS00059	Bifidobacterium longum	4 Months	X572	0.195046224843473
MS00059	Bifidobacterium longum	4 Months	X582	0.00624257102431655
MS00059	Bifidobacterium longum	4 Months	X585	0.58779965305777
MS00059	Bifidobacterium longum	4 Months	X587	0.00291378021260766
MS00059	Bifidobacterium longum	4 Months	X589	0.000187572612636041
MS00059	Bifidobacterium longum	4 Months	X590	0.0415738472461801
MS00059	Bifidobacterium longum	4 Months	X591	0.131242441788632
MS00059	Bifidobacterium longum	4 Months	X599	0.189448803826102
MS00059	Bifidobacterium longum	4 Months	X608	0.323504560141548
MS00059	Bifidobacterium longum	4 Months	X615	0.549518158123384
MS00059	Bifidobacterium longum	4 Months	X624	0.0143013491706228
MS00059	Bifidobacterium longum	4 Months	X633	0.228141351167951
MS00059	Bifidobacterium longum	4 Months	X637	0.218970707214943
MS00059	Bifidobacterium longum	4 Months	X78	0.173147850623771
MS00059	Bifidobacterium longum	4 Months	X87	0
MS00159	Eubacterium hallii	4 Months	X105	0
MS00159	Eubacterium hallii	4 Months	X10	0
MS00159	Eubacterium hallii	4 Months	X128	0
MS00159	Eubacterium hallii	4 Months	X12	0
MS00159	Eubacterium hallii	4 Months	X130	3.64889308830109e-05
MS00159	Eubacterium hallii	4 Months	X133	0
MS00159	Eubacterium hallii	4 Months	X137	0
MS00159	Eubacterium hallii	4 Months	X150	0
MS00159	Eubacterium hallii	4 Months	X157	0
MS00159	Eubacterium hallii	4 Months	X172	0
MS00159	Eubacterium hallii	4 Months	X180	0
MS00159	Eubacterium hallii	4 Months	X181	0
MS00159	Eubacterium hallii	4 Months	X184	0
MS00159	Eubacterium hallii	4 Months	X201	0
MS00159	Eubacterium hallii	4 Months	X229	0
MS00159	Eubacterium hallii	4 Months	X238	0
MS00159	Eubacterium hallii	4 Months	X240	0
MS00159	Eubacterium hallii	4 Months	X256	0
MS00159	Eubacterium hallii	4 Months	X258	0
MS00159	Eubacterium hallii	4 Months	X263	0
MS00159	Eubacterium hallii	4 Months	X265	0
MS00159	Eubacterium hallii	4 Months	X268	0
MS00159	Eubacterium hallii	4 Months	X26	0
MS00159	Eubacterium hallii	4 Months	X272	0
MS00159	Eubacterium hallii	4 Months	X274	0
MS00159	Eubacterium hallii	4 Months	X275	0
MS00159	Eubacterium hallii	4 Months	X276	0
MS00159	Eubacterium hallii	4 Months	X281	0
MS00159	Eubacterium hallii	4 Months	X282	0
MS00159	Eubacterium hallii	4 Months	X332	0
MS00159	Eubacterium hallii	4 Months	X335	0
MS00159	Eubacterium hallii	4 Months	X338	0
MS00159	Eubacterium hallii	4 Months	X341	0
MS00159	Eubacterium hallii	4 Months	X343	0
MS00159	Eubacterium hallii	4 Months	X350	0
MS00159	Eubacterium hallii	4 Months	X367	0
MS00159	Eubacterium hallii	4 Months	X377	0
MS00159	Eubacterium hallii	4 Months	X383	0
MS00159	Eubacterium hallii	4 Months	X385	0
MS00159	Eubacterium hallii	4 Months	X397	0
MS00159	Eubacterium hallii	4 Months	X39	0
MS00159	Eubacterium hallii	4 Months	X42	0
MS00159	Eubacterium hallii	4 Months	X45	0
MS00159	Eubacterium hallii	4 Months	X51	0
MS00159	Eubacterium hallii	4 Months	X521	0
MS00159	Eubacterium hallii	4 Months	X526	0
MS00159	Eubacterium hallii	4 Months	X527	0
MS00159	Eubacterium hallii	4 Months	X536	0
MS00159	Eubacterium hallii	4 Months	X544	0
MS00159	Eubacterium hallii	4 Months	X549	0
MS00159	Eubacterium hallii	4 Months	X560	0
MS00159	Eubacterium hallii	4 Months	X565	0
MS00159	Eubacterium hallii	4 Months	X567	0
MS00159	Eubacterium hallii	4 Months	X572	0
MS00159	Eubacterium hallii	4 Months	X582	0
MS00159	Eubacterium hallii	4 Months	X585	0
MS00159	Eubacterium hallii	4 Months	X587	0
MS00159	Eubacterium hallii	4 Months	X589	0
MS00159	Eubacterium hallii	4 Months	X590	0
MS00159	Eubacterium hallii	4 Months	X591	0
MS00159	Eubacterium hallii	4 Months	X599	0
MS00159	Eubacterium hallii	4 Months	X608	0
MS00159	Eubacterium hallii	4 Months	X615	0
MS00159	Eubacterium hallii	4 Months	X624	0
MS00159	Eubacterium hallii	4 Months	X633	0
MS00159	Eubacterium hallii	4 Months	X637	0
MS00159	Eubacterium hallii	4 Months	X78	0
MS00159	Eubacterium hallii	4 Months	X87	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X105	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X10	9.26604617218862e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X128	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X12	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X130	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X133	2.57009834850541e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X137	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X150	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X157	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X172	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X180	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X181	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X184	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X201	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X229	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X238	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X240	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X256	3.1702767510114e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X258	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X263	5.50788687237473e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X265	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X268	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X26	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X272	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X274	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X275	2.69401773025587e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X276	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X281	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X282	0
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X332	3.3922265034434e-05
MS00168;MS00167;MS00169	Faecalibacterium prausnitzii	4 Months	X335	0
