Time,Fece_Vol
24.1000000000002,0.00719139286844897
24.2000000000002,0.00781042846653214
24.3000000000002,0.00842654550571716
24.4000000000002,0.00903982460739546
24.5000000000002,0.00965034514014144
24.6000000000002,0.0102581852757463
24.7000000000002,0.0108635226045771
24.8000000000002,0.0114665405112751
24.9000000000002,0.0120673177212584
25.0000000000002,0.0126659296826716
25.1000000000002,0.0132624488887733
25.2000000000002,0.013856945026595
25.3000000000002,0.0144494851136965
25.4000000000002,0.0150401336244979
25.5000000000002,0.0156289526074401
25.6000000000002,0.0162160017940341
25.7000000000002,0.0168013387007084
25.8000000000002,0.0173850187242279
25.9000000000002,0.0179670952313516
26.0000000000002,0.0185476196432999
26.1000000000002,0.0191266415155207
26.2000000000002,0.0197042086131723
26.3000000000002,0.0202803669826777
26.4000000000002,0.0208551610196492
26.5000000000002,0.021428633533439
26.6000000000002,0.0220008258085266
26.7000000000002,0.0225717776629307
26.8000000000002,0.0231415275038032
26.9000000000002,0.0237101123803521
27.0000000000002,0.0242775680342269
27.1000000000003,0.0248583219899415
27.2000000000003,0.0254716588056422
27.3000000000003,0.026116210977697
27.4000000000003,0.0267906695481962
27.5000000000003,0.0274937754380253
27.6000000000003,0.028209924329615
27.7000000000003,0.0289193859955717
27.8000000000003,0.0296231173723121
27.9000000000003,0.0303213641537476
28.0000000000003,0.0310143515757341
28.1000000000003,0.0317022872120109
28.2000000000003,0.0323853630230231
28.3000000000003,0.0330637570889622
28.4000000000003,0.0337376350951249
28.5000000000003,0.0344071516184
28.6000000000003,0.0350724512520172
28.7000000000003,0.0357336695974634
28.8000000000003,0.0363909341462354
28.9000000000003,0.0370443650692298
29.0000000000003,0.0376940759277491
29.1000000000003,0.0383401743171035
29.2000000000003,0.0389827624514422
29.3000000000003,0.0396219376966184
29.4000000000003,0.0402577930564771
29.5000000000003,0.0408904176168559
29.6000000000003,0.0415198969507452
29.7000000000003,0.0421463134874099
29.8000000000003,0.0427697468477805
29.9000000000003,0.0433902741480589
30.0000000000003,0.0440079702732116
30.1000000000003,0.0446229081218327
30.2000000000003,0.045235158823729
30.3000000000003,0.0458447919315009
30.4000000000003,0.0464518755873512
30.5000000000003,0.0470564766663417
30.6000000000003,0.0476731009667024
30.7000000000003,0.0483213429945717
30.8000000000003,0.0490001918873971
30.9000000000003,0.0497086801306937
31.0000000000003,0.000372140144850978
31.1000000000003,0.00112271272172958
31.2000000000003,0.00186628745938263
31.3000000000003,0.00260313745251051
31.4000000000003,0.0033335182267927
31.5000000000003,0.00405766903400849
31.6000000000003,0.0047758140578419
31.7000000000003,0.00548816357884987
31.8000000000003,0.00619491510433164
31.9000000000003,0.00689625445286093
32.0000000000003,0.00759235668977826
32.1000000000003,0.00828338703663203
32.2000000000003,0.00896950172933133
32.3000000000003,0.00965084881553019
32.4000000000003,0.0103275688943692
32.5000000000003,0.0109997958018089
32.6000000000003,0.0116676572446859
32.7000000000003,0.0123312753864057
32.8000000000003,0.0129907673869168
32.9000000000003,0.0136462458993368
33.0000000000003,0.0142978195253345
33.1000000000003,0.0149455932311467
33.2000000000003,0.015589668725911
33.3000000000002,0.0162301448038472
33.4000000000002,0.0168671176517095
33.5000000000002,0.017500681122863
33.6000000000002,0.0181309269793045
33.7000000000002,0.0187579451029469
33.8000000000002,0.0193818236775141
33.9000000000002,0.0200026493424375
34.0000000000002,0.0206205073202106
34.1000000000002,0.0212499202746119
34.2000000000002,0.021910492806444
34.3000000000002,0.0226012230115846
34.4000000000002,0.0233211531155171
34.5000000000002,0.0240693629447781
34.6000000000002,0.0248305295046474
34.7000000000002,0.0255842939513008
34.8000000000002,0.0263309440542605
34.9000000000002,0.0270707492522111
35.0000000000001,0.0278039620132644
35.1000000000001,0.0285308191224788
35.2000000000001,0.02925154293288
35.3000000000001,0.0299663425601503
35.4000000000001,0.0306754150099228
35.5000000000001,0.0313789462328052
35.6000000000001,0.0320771121062875
35.7000000000001,0.0327700793451271
35.8000000000001,0.0334580063431282
35.9000000000001,0.0341410439498357
36.0000000000001,0.0348193361858151
36.1000000000001,0.0354930209000813
36.2000000000001,0.0361622303730001
36.3000000000001,0.0368270918676896
36.4000000000001,0.0374877281326543
36.5000000000001,0.0381442578581094
36.6000000000001,0.0387967960882245
36.7000000000001,0.0394454545913301
36.8,0.0400903421899985
36.9,0.0407315650528197
37,0.0413692269496476
37.1,0.0420034294720802
37.2,0.0426342722209532
37.3,0.0432618529626649
37.4,0.043886267756202
37.5,0.0445076110527974
37.6,0.0451404128494536
37.7,0.0458042774654032
37.8,0.0464982027132985
37.9,0.0472212314935526
38,0.0479724443526213
38.1,0.048736519112294
38.2,0.0494930994573685
38.3,0.00852913240752443
38.4,0.000928907313731726
38.5,0.0016646723869959
38.5999999999999,0.00239399727395756
38.6999999999999,0.00311710577324718
38.7999999999999,0.00383420847591364
38.8999999999999,0.00454550397295314
38.9999999999999,0.00525117997304303
39.0999999999999,0.00595141433176866
39.1999999999999,0.00664637599605531
39.2999999999999,0.00733622586863399
39.3999999999999,0.00802111759769885
39.4999999999999,0.00870119829679896
39.5999999999999,0.00937660919966934
